hospital_code,local_code,common_code,mapping_status,confidence,mapping_method,mapped_by,version
H001,GEN001,CONS-GEN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,CARD001,CONS-CARD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,PED001,CONS-PED,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,DERM001,CONS-DERM,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,ORTH001,CONS-ORTHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,ENT001,CONS-ENT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,OPH001,CONS-OPHTH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,CBC001,LAB-CBC,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,GLU001,LAB-GLU,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,LFT001,LAB-LFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,KFT001,LAB-KFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,LIP001,LAB-LIPID,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,TSH001,LAB-TSH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,URI001,LAB-URINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,CRP001,LAB-CRP,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,XR001,XR-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,XR002,XR-EXTREMITY,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,XR003,XR-SPINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,US001,US-ABD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,US002,US-PELVIS,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,CT001,CT-HEAD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,CT002,CT-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,MRI001,MRI-BRAIN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,ECG001,ECG-12,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,END001,PROC-ENDO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,WND001,PROC-WOUND,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,SUT001,PROC-SUTURE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,PEC001,PROC-ECG,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,ECH001,DIAG-ECHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H001,PAT001,DIAG-PATH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,GEN-201,CONS-GEN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,CC-102,CONS-CARD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,PED-115,CONS-PED,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,DERM-310,CONS-DERM,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,ORTH-410,CONS-ORTHO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,ENT-501,CONS-ENT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,OPH-602,CONS-OPHTH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-22,LAB-CBC,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-31,LAB-GLU,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-45,LAB-LFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-46,LAB-KFT,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-50,LAB-LIPID,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-55,LAB-TSH,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-10,LAB-URINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,LAB-60,LAB-CRP,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,RAD-09,XR-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,RAD-10,XR-EXTREMITY,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,RAD-11,XR-SPINE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,US-05,US-ABD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,US-06,US-PELVIS,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,CT-18,CT-HEAD,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,CT-19,CT-CHEST,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,MRI-02,MRI-BRAIN,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,ECG-07,ECG-12,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,PROC-30,PROC-ENDO,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,PROC-40,PROC-WOUND,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
H002,PROC-45,PROC-SUTURE,MAPPED,1.0,SYNTHETIC_MVP,SYSTEM,1.0
