hospital_code,local_code,description,category,source_system,version,notes,synthetic_demo,active
H001,GEN001,General Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,CARD001,Cardiology Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,PED001,Pediatric Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,DERM001,Derm Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,ORTH001,Ortho Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,ENT001,ENT Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,OPH001,Ophthalmology Consult,CONSULTATION,H001-HIS,1.0,Synthetic demo code,true,true
H001,CBC001,CBC Test,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,GLU001,Blood Glucose,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,LFT001,LFT,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,KFT001,Kidney Func,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,LIP001,Lipid Panel,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,TSH001,TSH Test,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,URI001,Urine Analysis,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,CRP001,CRP,LABORATORY,H001-HIS,1.0,Synthetic demo code,true,true
H001,XR001,CXR,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,XR002,Xray Limb,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,XR003,Spine Xray,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,US001,Abdomen US,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,US002,Pelvic US,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,CT001,Head CT,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,CT002,Chest CT,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,MRI001,Brain MRI,RADIOLOGY,H001-HIS,1.0,Synthetic demo code,true,true
H001,ECG001,ECG,DIAGNOSTIC,H001-HIS,1.0,Synthetic demo code,true,true
H001,END001,Endoscopy,PROCEDURE,H001-HIS,1.0,Synthetic demo code,true,true
H001,WND001,Wound Dressing,PROCEDURE,H001-HIS,1.0,Synthetic demo code,true,true
H001,SUT001,Suturing,PROCEDURE,H001-HIS,1.0,Synthetic demo code,true,true
H001,PEC001,ECG Monitor,PROCEDURE,H001-HIS,1.0,Synthetic demo code,true,true
H001,ECH001,Echo,DIAGNOSTIC,H001-HIS,1.0,Synthetic demo code,true,true
H001,PAT001,Path Test,DIAGNOSTIC,H001-HIS,1.0,Synthetic demo code,true,true
H002,GEN-201,Consult General,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,CC-102,Consult Cardiology,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,PED-115,Consult Pediatrics,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,DERM-310,Consult Dermatology,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,ORTH-410,Consult Orthopedics,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,ENT-501,Consult ENT,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,OPH-602,Consult Ophthalmology,CONSULTATION,H002-HIS,1.0,Synthetic demo code,true,true
H002,LAB-22,Lab Complete Blood,LABORATORY,H002-HIS,1.0,Synthetic demo code,true,true
H002,LAB-31,Lab Fasting Glu,LABORATORY,H002-HIS,1.0,Synthetic demo code,true,true
H002,LAB-45,Lab LFT Profile,LABORATORY,H002-HIS,1.0,Synthetic demo code,true,true
H002,LAB-46,Lab Kidney Profile,LABORATORY,H002-HIS,1.0,Synthetic demo code,true,true
H002,LAB-50,Lab Lipid,LABORATORY,H002-HIS,1.0,Synthetic demo code,true,true
